Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
1 dic 2016;545,25;557,95;
2 dic 2016;545,17;557,88;
3 dic 2016;545,17;557,75;
4 dic 2016;545,17;557,75;
5 dic 2016;545,17;557,75;
6 dic 2016;545,24;557,77;
7 dic 2016;545,13;557,72;
8 dic 2016;545,10;557,64;
9 dic 2016;545,04;557,61;
10 dic 2016;545,01;557,60;
11 dic 2016;545,01;557,60;
12 dic 2016;545,01;557,60;
13 dic 2016;545,09;557,61;
14 dic 2016;545,06;557,64;
15 dic 2016;545,05;557,62;
16 dic 2016;545,08;557,63;
17 dic 2016;545,07;557,64;
18 dic 2016;545,07;557,64;
19 dic 2016;545,07;557,64;
20 dic 2016;545,47;557,96;
21 dic 2016;546,41;559,02;
22 dic 2016;548,32;561,04;
23 dic 2016;549,06;561,80;
24 dic 2016;548,06;560,77;
25 dic 2016;548,06;560,77;
26 dic 2016;548,06;560,77;
27 dic 2016;548,20;560,84;
28 dic 2016;548,32;561,08;
29 dic 2016;548,26;561,09;
30 dic 2016;548,18;561,10;
31 dic 2016;548,18;561,10;
1 ene 2017;548,18;561,10;
2 ene 2017;548,18;561,10;
3 ene 2017;548,14;561,10;
4 ene 2017;548,17;561,09;
5 ene 2017;548,80;561,60;
6 ene 2017;549,12;561,87;
7 ene 2017;549,27;561,98;
8 ene 2017;549,27;561,98;
9 ene 2017;549,27;561,98;
10 ene 2017;549,40;561,95;
11 ene 2017;549,33;561,94;
12 ene 2017;549,12;561,76;
13 ene 2017;548,60;561,19;
14 ene 2017;548,10;560,76;
15 ene 2017;548,10;560,76;
16 ene 2017;548,10;560,76;
17 ene 2017;548,09;560,62;
18 ene 2017;548,03;560,62;
19 ene 2017;548,04;560,60;
20 ene 2017;548,01;560,59;
21 ene 2017;547,97;560,59;
22 ene 2017;547,97;560,59;
23 ene 2017;547,97;560,59;
24 ene 2017;548,03;560,61;
25 ene 2017;547,92;560,66;
26 ene 2017;547,86;560,62;
27 ene 2017;548,23;560,96;
28 ene 2017;548,64;561,38;
29 ene 2017;548,64;561,38;
30 ene 2017;548,64;561,38;
31 ene 2017;548,75;561,42;
1 feb 2017;550,08;562,70;
2 feb 2017;550,14;562,77;
3 feb 2017;550,99;563,62;
4 feb 2017;551,63;564,19;
5 feb 2017;551,63;564,19;
6 feb 2017;551,63;564,19;
7 feb 2017;551,93;564,53;
8 feb 2017;553,10;565,82;
9 feb 2017;553,62;566,31;
10 feb 2017;553,65;566,38;
11 feb 2017;554,08;566,16;
12 feb 2017;554,08;566,16;
13 feb 2017;554,08;566,16;
14 feb 2017;554,18;566,77;
15 feb 2017;553,95;566,90;
16 feb 2017;554,50;567,49;
17 feb 2017;555,82;568,78;
18 feb 2017;555,98;568,92;
19 feb 2017;555,98;568,92;
20 feb 2017;555,98;568,92;
21 feb 2017;556,06;568,93;
22 feb 2017;555,93;568,90;
23 feb 2017;555,93;568,87;
24 feb 2017;555,76;568,77;
25 feb 2017;555,30;568,37;
26 feb 2017;555,30;568,37;
27 feb 2017;555,30;568,37;
28 feb 2017;555,19;568,16;
29 feb 2017;;;
1 mar 2017;554,97;567,96;
2 mar 2017;554,65;567,29;
3 mar 2017;554,58;567,26;
